scenario_id,scenario_group,scenario_type,level,target_scope,eps_import_dep,priority_mode,n_runs,mean_z_cost,std_z_cost,best_z_cost,worst_z_cost,mean_penalty,mean_pen_import,mean_shortage,std_shortage,best_shortage,worst_shortage,mean_import_dep,mean_import_dep_violation,mean_service_rate,mean_local_prod,mean_total_import,total_elapsed_s,avg_elapsed_s
S0_BASE,Baseline,baseline,default,default problem data,0.9,balanced,10,23781657680337.625,329274899014.4591,23328666404860.562,24446818903658.23,2107332200788.3738,1177411445420.4436,0.49555321954473486,1.4866596586342047,0.0,4.955532195447349,0.9042714003361985,0.004271400336198494,0.9999997943194024,240142.4265361474,2268842.8146416442,388.87689690105617,38.88768969010562
S1_PRICE_25,Harga impor naik,operational_stress,+25%,all import purchase costs,0.9,balanced,10,28697219140752.98,195191752104.26907,28440429796912.484,29140854232891.85,2246349702789.8916,1009524176888.866,1.3854674815726509,4.156402444717792,0.0,13.854674815726028,0.9029908853087996,0.0029908853087994625,0.9999994249582727,240982.85607164446,2243232.32825899,382.2715412005782,38.22715412005782
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,10,33833026537450.094,229526158059.49484,33552193188964.414,34363771170562.992,2628619364657.032,1170780519291.1074,0.0,0.0,0.0,0.0,0.9029312225232781,0.0029312225232779655,1.0,240982.88333256444,2241706.7120364094,379.5111048007384,37.95111048007384
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,10,23690287368391.203,205183274723.78546,23368159390916.89,24113844570237.19,1969621704340.7246,1004971671808.7549,0.4955532195447704,1.486659658634193,0.0,4.955532195447349,0.9036458252155863,0.0036458252155863956,0.9999997943194024,240459.46360895463,2255239.352022423,402.8065120992251,40.28065120992251
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,10,24585109778899.95,801545261253.4431,23829214062542.195,26517025479996.445,2864801443378.488,1845288335188.263,258.6864955672733,415.8444308849741,0.0,1267.2039455267961,0.9066943167963617,0.006694316796361466,0.9998926315260178,240391.45346829033,2338670.567303441,414.8178814998828,41.481788149988276
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,10,27555203256072.297,1126601091919.3572,25770801408902.766,29210017560551.812,7968978388300.245,5836471408902.668,1634.7617824882157,1841.0363582817301,0.0,6140.048907630422,0.9211734870041945,0.021173487004194615,0.9993214880524575,225185.9274872044,2638461.4230339834,662.7942955009639,66.2794295500964
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,10,23711100507902.508,298918590168.6255,23347859126587.766,24284801889245.996,1800821631660.1328,1057724201724.5615,0.0023201823039896152,0.006960546911656762,0.0,0.0232018230389599,0.9038372002653994,0.0038372002653993655,0.9999999990370025,240578.6288129758,2261492.1665824214,359.64237350039184,35.964237350039184
S3_PORT_CAP_50,Kapasitas pelabuhan terganggu,operational_stress,-50%,all port throughput capacities,0.9,balanced,10,25310156944582.062,798844836514.784,24192368024391.14,26951001002634.344,13266918225867.67,2684683428689.045,3805.589997188364,7142.468623260083,0.040745152641252336,22044.722536914356,0.911521077352252,0.011521077352252006,0.9984204803976942,235998.43455544976,2433733.961767792,545.8770138998516,54.587701389985156
S3_PORT_CAP_75,Kapasitas pelabuhan terganggu,operational_stress,-75%,all port throughput capacities,0.9,balanced,10,16204989316585.781,170089594665.60794,15747924687721.225,16370491359455.617,145870313908282.2,0.0,785375.0304011657,33020.113084982,734149.9991315278,848784.1798447738,0.8718588073412533,0.0,0.6740281384498368,215362.7467305447,1465503.5555274466,985.6952865016647,98.56952865016646
S4_DEMAND_25,Demand naik,operational_stress,+25%,all provinces,0.9,balanced,10,32038055435375.49,1469358720885.6687,30176168234152.29,35316375758000.41,15649682359273.879,8271481583427.453,206.2425884771281,384.74531768141475,0.0,1258.0340850278276,0.9301778135685623,0.03017781356856226,0.9999315188001713,235048.57262096027,3139852.838031887,689.1530834999867,68.91530834999867
S4_DEMAND_50,Demand naik,operational_stress,+50%,all provinces,0.9,balanced,10,37700830378757.695,2413474242630.328,35468245784721.414,42994997465988.59,17063382564067.865,11248638934111.309,453.6741337647184,1165.9818637596582,0.0,3906.680084966233,0.9410823032921354,0.0410823032921353,0.9998744676142429,233589.14427344274,3754859.2687204718,664.6969665014185,66.46969665014186
S4_DEMAND_75,Demand naik,operational_stress,+75%,all provinces,0.9,balanced,10,43926558649989.39,2104051783594.896,42023037236837.69,49239987486007.336,32203689877673.324,13896718529628.074,1970.0403364030874,4306.205201235646,0.0,14767.596586925283,0.9507413332969575,0.05074133329695738,0.9995327599165617,228533.75592969818,4429639.302337414,629.9243797003292,62.99243797003292
S5_IMPORT_RELAX_92,Sensitivitas kebijakan impor,policy_sensitivity,92%,EPS_IMPORT_DEP only,0.92,balanced,10,23892369222461.305,444265206311.3431,23394724212925.277,24854252982455.613,795388048648.449,0.0,2.4202861936828413e-14,7.216504316990053e-14,0.0,2.4069635173873394e-13,0.9172482211466155,0.0,1.0,209142.22506109253,2318816.123979629,387.50914869923145,38.75091486992314
S5_IMPORT_RELAX_95,Sensitivitas kebijakan impor,policy_sensitivity,95%,EPS_IMPORT_DEP only,0.95,balanced,10,26984410331407.574,1279826141764.5671,25813011956207.88,30546399944458.418,1283370170988.8667,0.0,49.59666934568912,143.5571652855779,0.0,480.1448104190066,0.9291042128184435,0.0,0.9999794147789178,200926.37126096306,2639015.1487825783,373.0418503996916,37.30418503996916
S5_IMPORT_FORCE_85,Sensitivitas kebijakan impor ketat,policy_sensitivity,85%,EPS_IMPORT_DEP only,0.85,import,10,23903248421453.51,389295282496.11035,23571748563728.15,24912577670292.066,16007666978276.088,14996975524079.582,0.17485102193405222,0.5245530625929051,0.0,1.7485102097127676,0.9044058634257963,0.05440586342579634,0.9999999274276481,240979.72911524837,2280432.952276699,329.0045822998509,32.90045822998509
S5_IMPORT_FORCE_80,Sensitivitas kebijakan impor sangat ketat,policy_sensitivity,80%,EPS_IMPORT_DEP only,0.8,import,10,24156050725606.836,555710710648.0923,23651958413708.98,25577746825107.094,30167812381539.46,29071020966115.95,13.263257532920736,30.255639278424937,0.0,98.85455026479919,0.9054635312161075,0.10546353121610745,0.9999944950519423,240650.50196850082,2306127.992210026,345.7493620994501,34.57493620994501
