province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Aceh,Jan,28.7,28.7,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Feb,25.3,25.3,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Mar,22.2,22.2,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Apr,26.9,26.9,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Mei,27.8,27.8,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Jun,62.1,62.1,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Jul,52.5,52.5,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Agu,24.7,24.7,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Sep,26.5,26.5,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Okt,16.9,16.9,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Nov,16.4,16.4,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Des,16.9,16.9,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Utara,Jan,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Feb,57.5,57.5,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Mar,16.4,16.4,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Apr,18.9,18.9,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Mei,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Jun,13.2,13.2,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Jul,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Agu,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Sep,12.1,12.1,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Okt,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Nov,14.4,14.4,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Des,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0
Sumatera Barat,Jan,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Feb,2.6,2.6,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Mar,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Apr,2.7,2.7,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Mei,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Jun,2.7,2.7,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Jul,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Agu,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Sep,2.7,2.7,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Okt,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Nov,2.7,2.7,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Des,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0
Riau,Jan,10316.0,796.4,14314.8,0.0,0.0,4795.2,0.0,0
Riau,Feb,9650.4,6943.3,2707.1,0.0,0.0,4795.2,0.0,0
Riau,Mar,10316.0,10316.0,0.0,0.0,0.0,4795.2,0.0,0
Riau,Apr,9983.2,9983.2,0.0,0.0,0.0,4795.2,0.0,0
Riau,Mei,10316.0,10316.0,0.0,0.0,0.0,4795.2,0.0,0
Riau,Jun,9983.2,9983.2,0.0,0.0,0.0,4795.2,0.0,0
Riau,Jul,10316.0,10316.0,0.0,0.0,0.0,4795.2,0.0,0
Riau,Agu,10316.0,10316.0,0.0,0.0,0.0,4795.2,0.0,0
Riau,Sep,9983.2,9983.2,0.0,0.0,0.0,4795.2,0.0,0
Riau,Okt,10316.0,10316.0,0.0,0.0,0.0,4795.2,0.0,0
Riau,Nov,9983.2,9983.2,0.0,0.0,0.0,4795.2,0.0,0
Riau,Des,10316.0,10008.8,1115.1,0.0,0.0,5603.0,0.0,0
Jambi,Jan,1766.4,0.0,2776.1,0.0,0.0,1009.7,0.0,0
Jambi,Feb,1652.0,0.0,1652.0,0.0,0.0,1009.7,0.0,0
Jambi,Mar,1766.0,1766.0,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Apr,1709.0,1709.0,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Mei,1765.8,1765.8,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Jun,1709.4,1709.4,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Jul,1766.5,1766.5,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Agu,1765.8,1765.8,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Sep,1708.9,1708.9,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Okt,1766.0,1766.0,0.0,0.0,0.0,1009.7,0.0,0
Jambi,Nov,1708.9,24.3,1684.5,0.0,0.0,1009.7,0.0,0
Jambi,Des,1770.6,0.0,1962.0,0.0,0.0,1201.1,0.0,0
Sumatera Selatan,Jan,5435.9,0.0,8543.3,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Feb,5074.1,0.0,5074.1,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Mar,5425.4,5425.4,0.0,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Apr,5252.9,5252.9,0.0,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Mei,5423.4,5423.4,0.0,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Jun,5248.4,5248.4,0.0,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Jul,5423.3,2911.7,2511.7,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Agu,5423.5,5423.5,0.0,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Sep,5248.4,5248.4,0.0,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Okt,5423.3,5423.3,0.0,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Nov,5248.4,0.0,5248.4,0.0,0.0,3107.4,0.0,0
Sumatera Selatan,Des,5423.3,0.0,6009.6,0.0,0.0,3693.6,0.0,0
Bengkulu,Jan,5902.3,0.0,9276.3,0.0,0.0,3374.0,0.0,0
Bengkulu,Feb,5516.0,0.0,5516.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Mar,5897.0,525.0,5372.1,0.0,0.0,3374.0,0.0,0
Bengkulu,Apr,5708.0,5708.0,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Mei,5896.0,5896.0,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Jun,5705.8,5705.8,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Jul,5896.0,0.0,5896.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Agu,5896.1,5896.1,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Sep,5705.8,5705.8,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Okt,5896.0,536.3,5359.7,0.0,0.0,3374.0,0.0,0
Bengkulu,Nov,5705.8,0.0,5705.8,0.0,0.0,3374.0,0.0,0
Bengkulu,Des,5896.0,0.0,6533.3,0.0,0.0,4011.3,0.0,0
Lampung,Jan,6368.6,0.0,9944.9,0.0,0.0,3576.2,0.0,0
Lampung,Feb,5957.8,0.0,5957.8,0.0,0.0,3576.2,0.0,0
Lampung,Mar,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Lampung,Apr,6163.2,6163.2,0.0,0.0,0.0,3576.2,0.0,0
Lampung,Mei,6368.6,6368.6,0.0,0.0,0.0,3576.2,0.0,0
Lampung,Jun,6163.2,369.4,5793.8,0.0,0.0,3576.2,0.0,0
Lampung,Jul,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Lampung,Agu,6368.6,4673.8,1694.8,0.0,0.0,3576.2,0.0,0
Lampung,Sep,6163.2,6163.2,0.0,0.0,0.0,3576.2,0.0,0
Lampung,Okt,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Lampung,Nov,6163.2,0.0,6163.2,0.0,0.0,3576.2,0.0,0
Lampung,Des,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Kep. Bangka Belitung,Jan,570.2,0.0,896.2,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Feb,533.5,0.0,533.5,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Mar,570.2,0.0,570.2,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Apr,551.9,551.9,0.0,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Mei,570.2,570.2,0.0,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Jun,551.9,0.0,588.6,0.0,0.0,362.7,0.0,0
Kep. Bangka Belitung,Jul,570.2,0.0,570.2,0.0,0.0,362.7,0.0,0
Kep. Bangka Belitung,Agu,570.2,0.0,570.2,0.0,0.0,362.7,0.0,0
Kep. Bangka Belitung,Sep,551.9,551.9,0.0,0.0,0.0,362.7,0.0,0
Kep. Bangka Belitung,Okt,570.2,0.0,570.2,0.0,0.0,362.7,0.0,0
Kep. Bangka Belitung,Nov,551.9,0.0,551.9,0.0,0.0,362.7,0.0,0
Kep. Bangka Belitung,Des,570.2,0.0,631.9,0.0,0.0,424.4,0.0,0
Kepulauan Riau,Jan,1197.5,0.0,1197.5,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Feb,1120.3,0.0,1120.3,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Mar,1197.5,0.0,1197.5,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Apr,1158.9,1158.9,0.0,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Mei,1197.5,1197.5,0.0,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Jun,1158.9,0.0,1271.7,0.0,0.0,112.8,0.0,0
Kepulauan Riau,Jul,1197.5,0.0,1197.5,0.0,0.0,112.8,0.0,0
Kepulauan Riau,Agu,1197.5,0.0,1197.5,0.0,0.0,112.8,0.0,0
Kepulauan Riau,Sep,1158.9,1158.9,0.0,0.0,0.0,112.8,0.0,0
Kepulauan Riau,Okt,1197.5,0.0,2347.1,0.0,0.0,1262.3,0.0,0
Kepulauan Riau,Nov,1158.9,0.0,1158.9,0.0,0.0,1262.3,0.0,0
Kepulauan Riau,Des,1197.5,0.0,1477.7,0.0,0.0,1542.4,0.0,1
DKI Jakarta,Jan,18953.6,0.0,20786.8,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Feb,17119.4,0.0,17119.4,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Mar,18953.6,0.0,18953.6,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Apr,18342.2,5571.9,12770.3,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Mei,18953.6,7576.5,11377.1,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Jun,18342.2,0.0,18342.2,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Jul,18953.6,0.0,18953.6,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Agu,18953.6,0.0,18953.6,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Sep,18342.2,565.3,17776.9,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Okt,18953.6,0.0,18953.6,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Nov,18342.2,0.0,18342.2,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Des,18953.6,0.0,18953.6,0.0,0.0,1833.2,0.0,0
Jawa Barat,Jan,33499.8,750.2,36740.0,0.0,0.0,3990.4,0.0,0
Jawa Barat,Feb,31337.7,0.0,31337.7,0.0,0.0,3990.4,0.0,0
Jawa Barat,Mar,33497.8,0.0,33497.8,0.0,0.0,3990.4,0.0,0
Jawa Barat,Apr,32422.2,0.0,32422.2,0.0,0.0,3990.4,0.0,0
Jawa Barat,Mei,33514.4,0.0,33514.4,0.0,0.0,3990.4,0.0,0
Jawa Barat,Jun,32417.4,0.0,32417.4,0.0,0.0,3990.4,0.0,0
Jawa Barat,Jul,33521.6,0.0,33521.6,0.0,0.0,3990.4,0.0,0
Jawa Barat,Agu,33503.8,0.0,33503.8,0.0,0.0,3990.4,0.0,0
Jawa Barat,Sep,32415.2,0.0,32415.2,0.0,0.0,3990.4,0.0,0
Jawa Barat,Okt,33619.6,0.0,33619.6,0.0,0.0,3990.4,0.0,0
Jawa Barat,Nov,32499.2,0.0,32499.2,0.0,0.0,3990.4,0.0,0
Jawa Barat,Des,33517.9,0.0,33517.9,0.0,0.0,3990.4,0.0,0
Jawa Tengah,Jan,30724.7,1292.3,40357.8,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Feb,28632.2,0.0,28632.2,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Mar,30625.2,0.0,30625.2,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Apr,29644.0,0.0,29644.0,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Mei,30631.8,0.0,30631.8,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Jun,29679.5,0.0,29679.5,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Jul,30645.9,0.0,30645.9,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Agu,30647.5,0.0,30647.5,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Sep,29611.9,0.0,29611.9,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Okt,30625.6,0.0,30625.6,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Nov,29704.4,0.0,29704.4,0.0,0.0,10925.4,0.0,0
Jawa Tengah,Des,30713.0,0.0,31333.4,0.0,0.0,11545.8,0.0,0
DI Yogyakarta,Jan,6887.4,0.0,8171.4,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Feb,6443.4,0.0,6443.4,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Mar,6888.1,0.0,6888.1,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Apr,6669.4,0.0,6669.4,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Mei,6889.8,0.0,6889.8,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Jun,6680.1,0.0,6680.1,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Jul,6895.1,0.0,6895.1,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Agu,6929.6,0.0,6929.6,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Sep,6684.9,0.0,6684.9,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Okt,6887.4,0.0,6887.4,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Nov,6672.0,0.0,6672.0,0.0,0.0,1284.0,0.0,0
DI Yogyakarta,Des,6894.6,0.0,7033.9,0.0,0.0,1423.2,0.0,0
Jawa Timur,Jan,58653.2,1451.2,68524.4,0.0,0.0,11322.3,0.0,0
Jawa Timur,Feb,54844.5,0.0,54844.5,0.0,0.0,11322.3,0.0,0
Jawa Timur,Mar,58892.7,0.0,58892.7,0.0,0.0,11322.3,0.0,0
Jawa Timur,Apr,56827.8,0.0,56827.8,0.0,0.0,11322.3,0.0,0
Jawa Timur,Mei,58567.8,0.0,58567.8,0.0,0.0,11322.3,0.0,0
Jawa Timur,Jun,56701.8,0.0,62409.9,0.0,0.0,17030.4,0.0,0
Jawa Timur,Jul,58973.3,0.0,58973.3,0.0,0.0,17030.4,0.0,0
Jawa Timur,Agu,58851.6,0.0,58857.6,0.0,0.0,17036.4,0.0,0
Jawa Timur,Sep,56740.1,0.0,56740.1,0.0,0.0,17036.4,0.0,0
Jawa Timur,Okt,58570.1,0.0,60075.9,0.0,0.0,18542.2,0.0,0
Jawa Timur,Nov,56676.4,0.0,56676.4,0.0,0.0,18542.2,0.0,0
Jawa Timur,Des,58628.2,0.0,66329.1,0.0,0.0,26243.1,0.0,0
Banten,Jan,7989.4,38.5,17387.7,0.0,0.0,9436.9,0.0,1
Banten,Feb,7471.9,0.0,7471.9,0.0,0.0,9436.9,0.0,1
Banten,Mar,7986.6,0.0,7986.6,0.0,0.0,9436.9,0.0,1
Banten,Apr,7728.9,0.0,7728.9,0.0,0.0,9436.9,0.0,1
Banten,Mei,7986.6,0.0,7986.6,0.0,0.0,9436.9,0.0,1
Banten,Jun,7728.9,0.0,8244.0,0.0,0.0,9952.0,0.0,1
Banten,Jul,7986.8,0.0,7986.8,0.0,0.0,9952.0,0.0,1
Banten,Agu,7986.5,0.0,7986.5,0.0,0.0,9952.0,0.0,1
Banten,Sep,7731.6,0.0,7731.6,0.0,0.0,9952.0,0.0,1
Banten,Okt,7986.7,0.0,7986.7,0.0,0.0,9952.0,0.0,1
Banten,Nov,7728.9,0.0,7728.9,0.0,0.0,9952.0,0.0,1
Banten,Des,7995.2,0.0,8859.5,0.0,0.0,10816.2,0.0,1
Bali,Jan,2448.8,67.7,7746.5,0.0,0.0,5365.5,0.0,1
Bali,Feb,2297.3,0.0,2297.3,0.0,0.0,5365.5,0.0,1
Bali,Mar,2449.5,0.0,2449.5,0.0,0.0,5365.5,0.0,1
Bali,Apr,2376.9,0.0,2376.9,0.0,0.0,5365.5,0.0,1
Bali,Mei,2451.8,0.0,2451.8,0.0,0.0,5365.5,0.0,1
Bali,Jun,2374.3,0.0,2867.5,0.0,0.0,5858.6,0.0,1
Bali,Jul,2452.6,0.0,2452.6,0.0,0.0,5858.6,0.0,1
Bali,Agu,2464.1,0.0,2464.4,0.0,0.0,5858.9,0.0,1
Bali,Sep,2369.8,0.0,2369.8,0.0,0.0,5858.9,0.0,1
Bali,Okt,2448.3,0.0,4596.5,0.0,0.0,8007.0,0.0,1
Bali,Nov,2368.6,0.0,2459.1,0.0,0.0,8097.5,0.0,1
Bali,Des,2451.9,0.0,2774.0,0.0,0.0,8419.5,0.0,1
Nusa Tenggara Barat,Jan,3361.2,202.6,10406.1,0.0,0.0,7247.5,0.0,1
Nusa Tenggara Barat,Feb,3134.6,0.0,3134.6,0.0,0.0,7247.5,0.0,1
Nusa Tenggara Barat,Mar,3364.7,0.0,3364.7,0.0,0.0,7247.5,0.0,1
Nusa Tenggara Barat,Apr,3314.2,0.0,3314.2,0.0,0.0,7247.5,0.0,1
Nusa Tenggara Barat,Mei,3371.4,0.0,3371.4,0.0,0.0,7247.5,0.0,1
Nusa Tenggara Barat,Jun,3242.8,0.0,3916.3,0.0,0.0,7921.0,0.0,1
Nusa Tenggara Barat,Jul,3414.2,0.0,3414.2,0.0,0.0,7921.0,0.0,1
Nusa Tenggara Barat,Agu,3454.8,0.0,3455.1,0.0,0.0,7921.4,0.0,1
Nusa Tenggara Barat,Sep,3244.7,0.0,3244.6,0.0,0.0,7921.4,0.0,1
Nusa Tenggara Barat,Okt,3385.1,0.0,6355.1,0.0,0.0,10891.4,0.0,1
Nusa Tenggara Barat,Nov,3253.8,0.0,3378.1,0.0,0.0,11015.7,0.0,1
Nusa Tenggara Barat,Des,3377.1,0.0,3820.7,0.0,0.0,11459.3,0.0,1
Nusa Tenggara Timur,Jan,296.0,21.1,767.4,0.0,0.0,492.5,0.0,1
Nusa Tenggara Timur,Feb,391.5,0.0,391.5,0.0,0.0,492.5,0.0,1
Nusa Tenggara Timur,Mar,399.9,0.0,399.9,0.0,0.0,492.5,0.0,1
Nusa Tenggara Timur,Apr,287.5,0.0,287.5,0.0,0.0,492.5,0.0,1
Nusa Tenggara Timur,Mei,183.5,0.0,183.5,0.0,0.0,492.5,0.0,1
Nusa Tenggara Timur,Jun,104.5,0.0,126.3,0.0,0.0,514.2,0.0,1
Nusa Tenggara Timur,Jul,261.3,0.0,261.3,0.0,0.0,514.2,0.0,1
